,OverallRating,pros
128,5.0,"[ ' [ ' , ' Theres ' , ' room ' , ' jerk ' , ' environment ' , ' positivity ' , ' learning ' , ' celebrating ' , ' success ' , ' weed ' , ' bad ' , ' behavior ' , ' actor ' , ' ] ' ]"
129,5.0,"[ ' [ ' , ' Love ' , ' great ' , ' talent ' , ' ] ' ]"
130,5.0,"[ ' [ ' , ' Unparalleled ' , ' team ' , ' benefit ' , ' overall ' , ' company ' , ' culture ' , ' Tons ' , ' room ' , ' upward ' , ' mobilitygrowth ' , ' Worklife ' , ' balance ' , ' overall ' , ' flexibility ' , ' Leadership ' , ' actually ' , ' care ' , ' wellbeing ' , ' taking ' , ' care ' , ' employee ' , ' ] ' ]"
131,5.0,"[ ' [ ' , ' Work ' , ' life ' , ' balance ' , ' Respect ' , ' Salesforce ' , ' care ' , ' abt ' , ' employee ' , ' Agile ' , ' ] ' ]"
132,3.0,"[ ' [ ' , ' Benefits ' , ' top ' , ' notch ' , ' Perks ' , ' tower ' , ' holiday ' , ' party ' , ' impressive ' , ' Sales ' , ' tactic ' , ' strategy ' , ' great ' , ' growth ' , ' even ' , ' experienced ' , ' rep ' , ' Youll ' , ' meet ' , ' talented ' , ' sale ' , ' rep ' , ' wide ' , ' variance ' , ' style ' , ' ESPP ' , ' generous ' , ' maternitypaternity ' , ' leave ' , ' Although ' , ' affect ' , ' likelihood ' , ' promoted ' , ' ] ' ]"
133,5.0,"[ ' [ ' , ' Company ' , ' really ' , ' great ' , ' working ' , ' culture ' , ' also ' , ' amazing ' , ' ] ' ]"
134,5.0,"[ ' [ ' , ' PTO ' , ' Salary ' , ' Culture ' , ' CEO ' , ' Character ' , ' ] ' ]"
135,5.0,"[ ' [ ' , ' Good ' , ' place ' , ' work ' , ' treat ' , ' well ' , ' ] ' ]"
136,5.0,"[ ' [ ' , ' great ' , ' work ' , ' ] ' ]"
137,5.0,"[ ' [ ' , ' Great ' , ' tech ' , ' stack ' , ' company ' , ' ] ' ]"
138,5.0,"[ ' [ ' , ' Positive ' , ' culture ' , ' supportive ' , ' management ' , ' ton ' , ' training ' , ' ] ' ]"
